,WordID,PartOfSpeechID
0,2,1
1,11,1
2,22,1
3,35,1
4,35,3
5,35,7
6,47,1
7,49,1
8,52,1
9,58,1
10,58,7
11,60,1
12,81,1
13,95,1
14,95,5
15,97,1
16,97,5
17,101,1
18,113,1
19,120,1
20,140,1
21,140,3
22,140,5
23,141,1
24,141,3
25,144,1
26,148,1
27,149,1
28,149,5
29,151,1
30,155,1
31,155,5
32,163,1
33,164,1
34,167,1
35,167,3
36,167,7
37,173,1
38,179,1
39,181,1
40,181,5
41,183,1
42,183,5
43,191,1
44,216,1
45,246,1
46,249,1
47,258,1
48,258,5
49,272,1
50,275,1
51,275,4
52,276,1
53,279,1
54,284,1
55,284,3
56,284,4
57,287,1
58,296,1
59,296,5
60,301,1
61,305,1
62,305,5
63,308,1
64,318,1
65,319,1
66,330,1
67,333,1
68,353,1
69,355,1
70,364,1
71,367,1
72,373,1
73,374,1
74,378,1
75,379,1
76,379,9
77,384,1
78,387,1
79,393,1
80,399,1
81,400,1
82,406,1
83,408,1
84,414,1
85,436,1
86,437,1
87,445,1
88,445,4
89,449,1
90,450,1
91,450,7
92,452,1
93,452,3
94,456,1
95,456,3
96,456,5
97,457,1
98,464,1
99,464,5
100,465,1
101,465,5
102,466,1
103,466,5
104,467,1
105,467,5
106,468,1
107,468,5
108,470,1
109,475,1
110,475,5
111,476,1
112,476,5
113,477,1
114,477,3
115,479,1
116,481,1
117,487,1
118,487,5
119,489,1
120,502,1
121,509,1
122,511,1
123,512,1
124,515,1
125,525,1
126,528,1
127,530,1
128,530,3
129,535,1
130,535,3
131,537,1
132,537,5
133,545,1
134,548,1
135,548,5
136,549,1
137,549,5
138,550,1
139,550,5
140,551,1
141,551,5
142,554,1
143,557,1
144,562,1
145,562,3
146,562,5
147,567,1
148,567,5
149,581,1
150,586,1
151,586,5
152,588,1
153,588,5
154,589,1
155,589,5
156,590,1
157,590,5
158,591,1
159,591,5
160,594,1
161,597,1
162,597,5
163,599,1
164,603,1
165,607,1
166,607,5
167,609,1
168,610,1
169,611,1
170,611,5
171,612,1
172,614,1
173,614,5
174,621,1
175,623,1
176,623,5
177,630,1
178,633,1
179,639,1
180,639,5
181,641,1
182,654,1
183,654,5
184,655,1
185,657,1
186,657,5
187,671,1
188,671,5
189,677,1
190,682,1
191,683,1
192,683,3
193,694,1
194,700,1
195,703,1
196,711,1
197,726,1
198,730,1
199,733,1
200,738,1
201,746,1
202,746,5
203,748,1
204,748,5
205,749,1
206,759,1
207,764,1
208,765,1
209,771,1
210,771,5
211,780,1
212,781,1
213,782,1
214,792,1
215,792,5
216,799,1
217,799,5
218,811,1
219,821,1
220,821,5
221,831,1
222,831,5
223,836,1
224,837,1
225,838,1
226,845,1
227,845,3
228,845,7
229,861,1
230,861,5
231,867,1
232,867,3
233,870,1
234,873,1
235,874,1
236,874,3
237,878,1
238,881,1
239,883,1
240,890,1
241,891,1
242,898,1
243,898,5
244,898,7
245,903,1
246,921,1
247,923,1
248,923,5
249,936,1
250,936,5
251,952,1
252,953,1
253,952,3
254,953,3
255,952,5
256,953,5
257,952,7
258,953,7
259,955,1
260,956,1
261,955,3
262,956,3
263,955,5
264,956,5
265,955,7
266,956,7
267,969,1
268,970,1
269,969,3
270,970,3
271,969,5
272,970,5
273,969,7
274,970,7
275,977,1
276,981,1
277,983,1
278,985,1
279,986,1
280,989,1
281,994,1
282,997,1
283,1005,1
284,1005,3
285,1006,1
286,1008,1
287,1008,5
288,1009,1
289,1009,5
290,1010,1
291,1010,5
292,1011,1
293,1011,5
294,1012,1
295,1012,5
296,1013,1
297,1013,3
298,1015,1
299,1018,1
300,1019,1
301,1019,3
302,1019,5
303,1041,1
304,1041,5
305,1045,1
306,1045,9
307,1046,1
308,1050,1
309,1050,5
310,1050,7
311,1052,1
312,1052,3
313,1053,1
314,1053,4
315,1056,1
316,1056,5
317,1059,1
318,1061,1
319,1061,7
320,1069,1
321,1078,1
322,1093,1
323,1093,5
324,1094,1
325,1094,5
326,1103,1
327,1108,1
328,1125,1
329,1125,5
330,1132,1
331,1132,5
332,1143,1
333,1146,1
334,1147,1
335,1149,1
336,1150,1
337,1158,1
338,1164,1
339,1164,3
340,1171,1
341,1177,1
342,1178,1
343,1180,1
344,1180,5
345,1186,1
346,1188,1
347,1198,1
348,1203,1
349,1204,1
350,1212,1
351,1212,5
352,1215,1
353,1216,1
354,1220,1
355,1235,1
356,1237,1
357,1238,1
358,1237,1
359,1238,1
360,1237,3
361,1238,3
362,1237,3
363,1238,3
364,1237,5
365,1238,5
366,1237,5
367,1238,5
368,1249,1
369,1249,5
370,1255,1
371,1256,1
372,1262,1
373,1263,1
374,1263,7
375,1283,1
376,1283,3
377,1283,5
378,1289,1
379,1293,1
380,1296,1
381,1296,5
382,1297,1
383,1297,5
384,1298,1
385,1298,5
386,1299,1
387,1299,5
388,1300,1
389,1300,5
390,1301,1
391,1314,1
392,1322,1
393,1323,1
394,1327,1
395,1328,1
396,1329,1
397,1334,1
398,1340,1
399,1340,5
400,1341,1
401,1341,5
402,1342,1
403,1342,5
404,1343,1
405,1343,5
406,1344,1
407,1344,5
408,1353,1
409,1354,1
410,1356,1
411,1357,1
412,1365,1
413,1371,1
414,1373,1
415,1376,1
416,1376,7
417,1386,1
418,1386,9
419,1389,1
420,1389,3
421,1389,5
422,1394,1
423,1394,5
424,1397,1
425,1429,1
426,1431,1
427,1439,1
428,1440,1
429,1450,1
430,1454,1
431,1454,3
432,1456,1
433,1457,1
434,1462,1
435,1462,5
436,1474,1
437,1489,1
438,1489,5
439,1491,1
440,1491,5
441,1492,1
442,1498,1
443,1498,6
444,1498,7
445,1507,1
446,1507,7
447,1509,1
448,1513,1
449,1513,5
450,1514,1
451,1515,1
452,1515,5
453,1516,1
454,1516,5
455,1517,1
456,1517,5
457,1518,1
458,1518,5
459,1519,1
460,1519,7
461,1520,1
462,1520,7
463,1522,1
464,1522,5
465,1523,1
466,1523,5
467,1531,1
468,1543,1
469,1543,5
470,1555,1
471,1565,1
472,1574,1
473,1574,5
474,1575,1
475,1575,5
476,1576,1
477,1576,5
478,1577,1
479,1577,5
480,1579,1
481,1579,5
482,1590,1
483,1599,1
484,1599,4
485,1600,1
486,1626,1
487,1635,1
488,1642,1
489,1642,4
490,1642,9
491,1643,1
492,1643,3
493,1643,9
494,1645,1
495,1645,3
496,1645,5
497,1646,1
498,1647,1
499,1647,7
500,1650,1
501,1650,7
502,1652,1
503,1652,5
504,1654,1
505,1657,1
506,1657,3
507,1659,1
508,1659,5
509,1664,1
510,1674,1
511,1681,1
512,1683,1
513,1684,1
514,1691,1
515,1693,1
516,1693,5
517,1699,1
518,1703,1
519,1703,5
520,3,2
521,3,3
522,4,2
523,8,2
524,8,3
525,24,2
526,24,6
527,27,2
528,39,2
529,50,2
530,74,2
531,74,3
532,79,2
533,79,3
534,79,6
535,85,2
536,128,2
537,128,3
538,128,6
539,132,2
540,136,2
541,136,3
542,139,2
543,142,2
544,196,2
545,430,2
546,430,3
547,447,2
548,580,2
549,606,2
550,767,2
551,768,2
552,785,2
553,862,2
554,862,4
555,988,2
556,1037,2
557,1048,2
558,1048,3
559,1067,2
560,1067,3
561,1330,2
562,1330,6
563,1496,2
564,1496,6
565,1524,2
566,1532,2
567,1585,2
568,1595,2
569,1595,6
570,1596,2
571,1596,3
572,1669,2
573,1670,2
574,1671,2
575,5,3
576,14,3
577,26,3
578,29,3
579,37,3
580,38,3
581,40,3
582,41,3
583,44,3
584,46,3
585,61,3
586,64,3
587,65,3
588,66,3
589,98,3
590,100,3
591,217,3
592,250,3
593,277,3
594,385,3
595,407,3
596,455,3
597,469,3
598,469,6
599,496,3
600,498,3
601,501,3
602,506,3
603,555,3
604,574,3
605,584,3
606,587,3
607,596,3
608,656,3
609,705,3
610,705,5
611,724,3
612,724,5
613,744,3
614,745,3
615,745,6
616,777,3
617,778,3
618,813,3
619,822,3
620,839,3
621,847,3
622,847,5
623,879,3
624,913,3
625,996,3
626,1021,3
627,1028,3
628,1028,5
629,1034,3
630,1038,3
631,1042,3
632,1049,3
633,1049,6
634,1060,3
635,1065,3
636,1066,3
637,1068,3
638,1136,3
639,1136,9
640,1137,3
641,1187,3
642,1189,3
643,1190,3
644,1206,3
645,1257,3
646,1355,3
647,1366,3
648,1366,6
649,1377,3
650,1380,3
651,1381,3
